Gene_name	Gene_ID	First_design	Original_name	Type
RIT1	ENSG00000143622	IMPACT-341	RIT1	Oncogene
RNF43	ENSG00000108375	IMPACT-341	RNF43	Suppressor
ROS1	ENSG00000047936	IMPACT-341	ROS1	Oncogene
RPS6KA4	ENSG00000162302	IMPACT-341	RPS6KA4	Oncogene
RPS6KB2	ENSG00000175634	IMPACT-341	RPS6KB2	Oncogene
RPTOR	ENSG00000141564	IMPACT-341	RPTOR	Oncogene
RRAGC	ENSG00000116954	IMPACT-468	RRAGC	Oncogene
RRAS	ENSG00000126458	IMPACT-468	RRAS	Oncogene
RRAS2	ENSG00000133818	IMPACT-468	RRAS2	Oncogene
RTEL1	ENSG00000258366	IMPACT-468	RTEL1	Suppressor
RUNX1	ENSG00000159216	IMPACT-341	RUNX1	Suppressor
RXRA	ENSG00000186350	IMPACT-468	RXRA	Others
RYBP	ENSG00000163602	IMPACT-341	RYBP	Suppressor
SDHA	ENSG00000073578	IMPACT-341	SDHA	Suppressor
SDHAF2	ENSG00000167985	IMPACT-341	SDHAF2	Suppressor
SDHB	ENSG00000117118	IMPACT-341	SDHB	Suppressor
SDHC	ENSG00000143252	IMPACT-341	SDHC	Suppressor
SDHD	ENSG00000204370	IMPACT-341	SDHD	Suppressor
SESN1	ENSG00000080546	IMPACT-468	SESN1	Suppressor
SESN2	ENSG00000130766	IMPACT-468	SESN2	Suppressor
SESN3	ENSG00000149212	IMPACT-468	SESN3	Suppressor
SETD2	ENSG00000181555	IMPACT-341	SETD2	Suppressor
SF3B1	ENSG00000115524	IMPACT-341	SF3B1	Oncogene
SH2B3	ENSG00000111252	IMPACT-410	SH2B3	Suppressor
SH2D1A	ENSG00000183918	IMPACT-341	SH2D1A	Suppressor
SHOC2	ENSG00000108061	IMPACT-468	SHOC2	Oncogene
SHQ1	ENSG00000144736	IMPACT-341	SHQ1	Suppressor
SLX4	ENSG00000188827	IMPACT-468	SLX4	Suppressor
SMAD2	ENSG00000175387	IMPACT-341	SMAD2	Suppressor
SMAD3	ENSG00000166949	IMPACT-341	SMAD3	Suppressor
SMAD4	ENSG00000141646	IMPACT-341	SMAD4	Suppressor
SMARCA4	ENSG00000127616	IMPACT-341	SMARCA4	Suppressor
SMARCB1	ENSG00000099956	IMPACT-341	SMARCB1	Suppressor
SMARCD1	ENSG00000066117	IMPACT-341	SMARCD1	Others
SMO	ENSG00000128602	IMPACT-341	SMO	Oncogene
SMYD3	ENSG00000185420	IMPACT-468	SMYD3	Oncogene
SOCS1	ENSG00000185338	IMPACT-341	SOCS1	Suppressor
SOS1	ENSG00000115904	IMPACT-468	SOS1	Oncogene
SOX17	ENSG00000164736	IMPACT-341	SOX17	Suppressor
SOX2	ENSG00000181449	IMPACT-341	SOX2	Oncogene
SOX9	ENSG00000125398	IMPACT-341	SOX9	Others
